Where is the Earth's magnetic south pole located geographically?,It is located at the geographic north pole.
What is the term for the process where a changing magnetic field induces an electric current in a conductor?,Electromagnetic induction.
How does 'Lenz's Law' describe induced currents?,The induced current creates a magnetic field that opposes the change in magnetic flux that produced it.
What determines the 'terminal velocity' of a magnet falling through a copper tube?,The balance between the force of gravity and the upward magnetic force from induced eddy currents.
"In a mass spectrometer, if two ions have the same charge and velocity, which ion will have a larger radius of curvature?",The ion with the larger mass.
A wire carries current directly away from you. What is the direction of the magnetic field lines?,The field lines are circles in a clockwise direction.
What is the force per unit length between two wires 1.0 m apart each carrying 1.0 A of current?,$2 \times 10^{-7} N/m$
Does a magnetic field point towards or away from a magnetic South pole?,Magnetic field lines point towards a South pole.
"In the context of the DIKW model, what does the analysis of clinical data (like blood counts) allow a practitioner to form?","A conclusion or interpretation, which is the essence of science."
What is the primary function of a physical sensor in e-health wearable technology?,"To measure physical parameters such as temperature, pressure, or movement."
How are magnetic sensors utilised in 'smart fabrics'?,They can monitor vital signs or detect specific movements by tracking changes in magnetic fields or orientation.
Why is the magnetic force referred to as a 'centripetal force' for a particle moving perpendicularly to a uniform field?,It always points towards the centre of the particle's circular path and changes only the direction of velocity.
What is the magnetic dipole moment of a single electron orbiting a nucleus with radius $r$ and speed $v$?,$M = \frac{1}{2} evr$
How does the Hall effect relate to magnetic fields?,It involves the production of a voltage difference across an electrical conductor when a magnetic field is applied perpendicularly to the current.
"In medical imaging, what role do magnetic fields play in MRI?",Strong magnetic fields align the spins of protons in the body to generate detailed internal images.
What determines if two magnetic loops will repel each other?,If their magnetic fields point toward each other (like poles) or if their currents flow in opposite directions.
What is the force on a 2.0 m wire carrying 5.0 A current parallel to a 0.5 T magnetic field?,"0 N, because $""\sin 0^{\circ} = 0""$."
Which rule is used to find the direction of the torque on a current loop?,"The right-hand rule, by curling fingers in the direction of the current to find the magnetic moment direction."
What is the relationship between magnetic field strength and the density of magnetic field lines?,The field is strongest where the field lines are most densely packed.
"In health informatics, what is a 'Body Area Network' (BAN)?",A network of wearable or implanted sensors that transmit physiologic data wirelessly to a server.
How does a 'smart slipper' use pressure sensors for elderly care?,It transmits movement data wirelessly to a remote site to aid in the early detection of falls.
What is the magnetic force on a proton moving at $5 \times 10^6 m/s$ perpendicular to a $0.2 T$ field?,$1.6 \times 10^{-13} N$
Why can two parallel currents be used to define the Ampere?,"The force between them is precisely determined by the current, distance, and the constant $\mu_0$."
"If an EM wave travels South and its electric field oscillates East-West, what is the magnetic field's oscillation direction?",It must oscillate vertically (up and down).
