How is the density ($\rho$) of a substance defined?,It is the mass per unit volume.
"In a syringe, if you push the plunger, the increase in pressure is transmitted to the fluid in the needle due to _____ Principle.",Pascal's
How is the volume of a displaced fluid related to the volume of a fully submerged object?,They are equal.
Why is the density of granite used instead of the mass of a granite mountain when calculating mountain-scale pressures?,Density is an intensive property and remains constant regardless of the total mass or volume.
"For a person underwater, the pressure difference between their lungs and the surface is proportional to their _____.",depth
What happens to the buoyant force on a sinking iron ball as it travels deeper (assuming water is incompressible)?,It remains constant.
"In Poiseuille flow, where is the fluid velocity at its maximum within a cylindrical tube?",At the centre of the tube.
What happens to the pressure of blood in a person's calf when they stand up compared to when they are lying down?,It increases due to the height of the column of blood above the calf.
How does an increase in temperature typically affect the surface tension of a liquid?,It decreases the surface tension.
Term: Laminar Flow,Definition: Smooth flow in which each particle of the fluid follows a smooth path and the paths do not cross.
"What describes the flow when fluid particles follow irregular, fluctuating paths?",Turbulent flow
Which variable in Bernoulli's equation represents the potential energy per unit volume?,$\rho gy$
The 'lift' force on a roof in a storm is calculated as the product of _____ and the roof's area.,the pressure difference ($\Delta P$)
"In Archimedes' principle, what determines whether an object will sink or float in a specific liquid?",The comparison of the object's average density to the liquid's density.
Why does the fluid level in an IV bag drop faster if the bag is raised higher?,"The increased height increases the pressure difference ($P_1 - P_2$), which increases the flow rate according to Poiseuille's law."
The phenomenon where a liquid rises or falls in a narrow tube is called _____ action.,capillary
"According to the syllabus, the study of Bernoulli's principle includes medical applications like Airplanes, Baseballs, and _____.",TIA (Transient Ischaemic Attack)
Under what condition is the Equation of Continuity ($A_1 v_1 = A_2 v_2$) valid?,When the fluid is incompressible and the flow is steady.
What is the standard value for atmospheric pressure at sea level in Pascals?,$1.013 \times 10^5 \text{ Pa}$
"If a person's body fat has a lower density than water, how does an increase in body fat affect their overall buoyancy?",It increases their buoyancy (making them more likely to float).
Formula: Hydrostatic Pressure at depth $h$,$P = P_{atm} + \rho gh$
"In a Venturi tube, where the pipe narrows, the fluid speed _____ and the pressure _____.",increases; decreases
What is the approximate density of gold compared to water?,It is about 19.3 times denser (SG $\approx 19.3$).
"In a clinical syringe application, the force applied to the plunger creates a pressure that is _____ to the force divided by the plunger's area.",equal
How is the volume of an irregularly shaped object determined using Archimedes' principle?,By measuring the mass (or volume) of the fluid it displaces when fully submerged.
"According to Poiseuille's equation, if the length of a pipe ($L$) is doubled while all other factors remain constant, the flow rate ($Q$) will _____.",be halved.
The work done by the heart to pump a volume of blood is $W = P \Delta V$. What does $P$ represent in this context?,The average pressure the heart exerts on the blood.
What causes the surface of a liquid to act like a stretched elastic membrane?,Surface tension
Which law or principle is primarily used to calculate the lift force on a bird's wing?,Bernoulli's Principle
"If a fluid is 'ideal', it is assumed to be nonviscous and _____.",incompressible
"In a hydraulic press, why is the work done on the small piston equal to the work done by the large piston (ignoring friction)?",Because energy is conserved; a smaller force over a larger distance equals a larger force over a smaller distance.
What happens to the pressure at a specific depth in a swimming pool if you add more water to the pool?,The pressure increases because the depth ($h$) from the new surface increases.
Does a sunken ship at the bottom of the ocean experience a buoyant force?,"Yes, it experiences a buoyant force equal to the weight of the water it displaces."
